D_PROVINCIA;D_MUNICIPIO;D_ESTACION;F_FECHA;D_HORA;'PM10';'PM25';'NO2';'O3';'SO2'
SEVILLA                                                                                                                                                                                                                                                   ;DOS HERMANAS                                                                                                                                                                                                                                              ;DOS HERMANAS                                                                                                                                                                                                                                              ;2023/11/13 00:00:00.000000000;12:00                                                                                                                                                                                                                                                     ;;;14.0;15.904;2.0
SEVILLA                                                                                                                                                                                                                                                   ;GUILLENA                                                                                                                                                                                                                                                  ;COBRE LAS CRUCES                                                                                                                                                                                                                                          ;2023/11/13 00:00:00.000000000;12:00                                                                                                                                                                                                                                                     ;;;;;
SEVILLA                                                                                                                                                                                                                                                   ;MAIRENA DEL ALJARAFE                                                                                                                                                                                                                                      ;ALJARAFE                                                                                                                                                                                                                                                  ;2023/11/13 00:00:00.000000000;12:00                                                                                                                                                                                                                                                     ;11.808;;12.0;18.125;3.0
SEVILLA                                                                                                                                                                                                                                                   ;SAN NICOLÁS DEL PUERTO                                                                                                                                                                                                                                    ;SIERRA NORTE                                                                                                                                                                                                                                              ;2023/11/13 00:00:00.000000000;12:00                                                                                                                                                                                                                                                     ;;3.551;2.0;14.75;5.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;BERMEJALES                                                                                                                                                                                                                                                ;2023/11/13 00:00:00.000000000;12:00                                                                                                                                                                                                                                                     ;17.291;;17.0;12.4;4.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;CENTRO                                                                                                                                                                                                                                                    ;2023/11/13 00:00:00.000000000;12:00                                                                                                                                                                                                                                                     ;;;6.0;11.75;4.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;PRÍNCIPES                                                                                                                                                                                                                                                 ;2023/11/13 00:00:00.000000000;12:00                                                                                                                                                                                                                                                     ;14.624;;13.0;;6.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;RANILLA                                                                                                                                                                                                                                                   ;2023/11/13 00:00:00.000000000;12:00                                                                                                                                                                                                                                                     ;;11.602;12.0;;3.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;SAN JERÓNIMO                                                                                                                                                                                                                                              ;2023/11/13 00:00:00.000000000;12:00                                                                                                                                                                                                                                                     ;;;;10.25;
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;SANTA CLARA                                                                                                                                                                                                                                               ;2023/11/13 00:00:00.000000000;12:00                                                                                                                                                                                                                                                     ;19.814;7.946;8.0;13.0;
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;TORNEO                                                                                                                                                                                                                                                    ;2023/11/13 00:00:00.000000000;12:00                                                                                                                                                                                                                                                     ;16.72;9.555;21.0;10.25;5.0
SEVILLA                                                                                                                                                                                                                                                   ;ALCALÁ DE GUADAÍRA                                                                                                                                                                                                                                        ;ALCALÁ DE GUADAÍRA                                                                                                                                                                                                                                        ;2023/11/13 00:00:00.000000000;13:00                                                                                                                                                                                                                                                     ;10.465;;4.0;31.25;2.0
SEVILLA                                                                                                                                                                                                                                                   ;DOS HERMANAS                                                                                                                                                                                                                                              ;DOS HERMANAS                                                                                                                                                                                                                                              ;2023/11/13 00:00:00.000000000;13:00                                                                                                                                                                                                                                                     ;;;11.0;18.904;2.0
SEVILLA                                                                                                                                                                                                                                                   ;GUILLENA                                                                                                                                                                                                                                                  ;COBRE LAS CRUCES                                                                                                                                                                                                                                          ;2023/11/13 00:00:00.000000000;13:00                                                                                                                                                                                                                                                     ;;;;;
SEVILLA                                                                                                                                                                                                                                                   ;MAIRENA DEL ALJARAFE                                                                                                                                                                                                                                      ;ALJARAFE                                                                                                                                                                                                                                                  ;2023/11/13 00:00:00.000000000;13:00                                                                                                                                                                                                                                                     ;11.763;;8.0;19.0;3.0
SEVILLA                                                                                                                                                                                                                                                   ;SAN NICOLÁS DEL PUERTO                                                                                                                                                                                                                                    ;SIERRA NORTE                                                                                                                                                                                                                                              ;2023/11/13 00:00:00.000000000;13:00                                                                                                                                                                                                                                                     ;;3.215;1.0;21.25;6.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;BERMEJALES                                                                                                                                                                                                                                                ;2023/11/13 00:00:00.000000000;13:00                                                                                                                                                                                                                                                     ;17.201;;14.0;15.525;4.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;CENTRO                                                                                                                                                                                                                                                    ;2023/11/13 00:00:00.000000000;13:00                                                                                                                                                                                                                                                     ;;;6.0;14.75;4.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;PRÍNCIPES                                                                                                                                                                                                                                                 ;2023/11/13 00:00:00.000000000;13:00                                                                                                                                                                                                                                                     ;14.715;;14.0;;6.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;RANILLA                                                                                                                                                                                                                                                   ;2023/11/13 00:00:00.000000000;13:00                                                                                                                                                                                                                                                     ;;11.505;9.0;;3.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;SAN JERÓNIMO                                                                                                                                                                                                                                              ;2023/11/13 00:00:00.000000000;13:00                                                                                                                                                                                                                                                     ;;;;12.75;
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;SANTA CLARA                                                                                                                                                                                                                                               ;2023/11/13 00:00:00.000000000;13:00                                                                                                                                                                                                                                                     ;20.292;7.946;8.0;17.625;
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;TORNEO                                                                                                                                                                                                                                                    ;2023/11/13 00:00:00.000000000;13:00                                                                                                                                                                                                                                                     ;16.672;9.701;21.0;12.625;5.0
SEVILLA                                                                                                                                                                                                                                                   ;ALCALÁ DE GUADAÍRA                                                                                                                                                                                                                                        ;ALCALÁ DE GUADAÍRA                                                                                                                                                                                                                                        ;2023/11/13 00:00:00.000000000;14:00                                                                                                                                                                                                                                                     ;10.388;;4.0;35.5;2.0
SEVILLA                                                                                                                                                                                                                                                   ;DOS HERMANAS                                                                                                                                                                                                                                              ;DOS HERMANAS                                                                                                                                                                                                                                              ;2023/11/13 00:00:00.000000000;14:00                                                                                                                                                                                                                                                     ;;;7.0;23.654;3.0
SEVILLA                                                                                                                                                                                                                                                   ;GUILLENA                                                                                                                                                                                                                                                  ;COBRE LAS CRUCES                                                                                                                                                                                                                                          ;2023/11/13 00:00:00.000000000;14:00                                                                                                                                                                                                                                                     ;;;11.0;;32.0
SEVILLA                                                                                                                                                                                                                                                   ;MAIRENA DEL ALJARAFE                                                                                                                                                                                                                                      ;ALJARAFE                                                                                                                                                                                                                                                  ;2023/11/13 00:00:00.000000000;14:00                                                                                                                                                                                                                                                     ;11.672;;8.0;21.125;3.0
SEVILLA                                                                                                                                                                                                                                                   ;SAN NICOLÁS DEL PUERTO                                                                                                                                                                                                                                    ;SIERRA NORTE                                                                                                                                                                                                                                              ;2023/11/13 00:00:00.000000000;14:00                                                                                                                                                                                                                                                     ;;3.102;1.0;27.875;6.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;BERMEJALES                                                                                                                                                                                                                                                ;2023/11/13 00:00:00.000000000;14:00                                                                                                                                                                                                                                                     ;17.155;;14.0;19.4;4.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;CENTRO                                                                                                                                                                                                                                                    ;2023/11/13 00:00:00.000000000;14:00                                                                                                                                                                                                                                                     ;;;9.0;18.625;4.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;PRÍNCIPES                                                                                                                                                                                                                                                 ;2023/11/13 00:00:00.000000000;14:00                                                                                                                                                                                                                                                     ;14.67;;17.0;;7.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;RANILLA                                                                                                                                                                                                                                                   ;2023/11/13 00:00:00.000000000;14:00                                                                                                                                                                                                                                                     ;;11.359;9.0;;3.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;SAN JERÓNIMO                                                                                                                                                                                                                                              ;2023/11/13 00:00:00.000000000;14:00                                                                                                                                                                                                                                                     ;;;;17.0;
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;SANTA CLARA                                                                                                                                                                                                                                               ;2023/11/13 00:00:00.000000000;14:00                                                                                                                                                                                                                                                     ;20.259;7.946;9.0;23.25;
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;TORNEO                                                                                                                                                                                                                                                    ;2023/11/13 00:00:00.000000000;14:00                                                                                                                                                                                                                                                     ;16.862;9.896;23.0;16.125;5.0
SEVILLA                                                                                                                                                                                                                                                   ;ALCALÁ DE GUADAÍRA                                                                                                                                                                                                                                        ;ALCALÁ DE GUADAÍRA                                                                                                                                                                                                                                        ;2023/11/13 00:00:00.000000000;15:00                                                                                                                                                                                                                                                     ;10.35;;5.0;40.625;2.0
SEVILLA                                                                                                                                                                                                                                                   ;DOS HERMANAS                                                                                                                                                                                                                                              ;DOS HERMANAS                                                                                                                                                                                                                                              ;2023/11/13 00:00:00.000000000;15:00                                                                                                                                                                                                                                                     ;;;9.0;26.5;2.0
SEVILLA                                                                                                                                                                                                                                                   ;GUILLENA                                                                                                                                                                                                                                                  ;COBRE LAS CRUCES                                                                                                                                                                                                                                          ;2023/11/13 00:00:00.000000000;15:00                                                                                                                                                                                                                                                     ;;;10.0;;7.0
SEVILLA                                                                                                                                                                                                                                                   ;MAIRENA DEL ALJARAFE                                                                                                                                                                                                                                      ;ALJARAFE                                                                                                                                                                                                                                                  ;2023/11/13 00:00:00.000000000;15:00                                                                                                                                                                                                                                                     ;11.672;;9.0;24.5;3.0
SEVILLA                                                                                                                                                                                                                                                   ;SAN NICOLÁS DEL PUERTO                                                                                                                                                                                                                                    ;SIERRA NORTE                                                                                                                                                                                                                                              ;2023/11/13 00:00:00.000000000;15:00                                                                                                                                                                                                                                                     ;;3.22;1.0;34.5;5.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;BERMEJALES                                                                                                                                                                                                                                                ;2023/11/13 00:00:00.000000000;15:00                                                                                                                                                                                                                                                     ;17.201;;16.0;23.275;4.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;CENTRO                                                                                                                                                                                                                                                    ;2023/11/13 00:00:00.000000000;15:00                                                                                                                                                                                                                                                     ;;;7.0;24.875;4.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;PRÍNCIPES                                                                                                                                                                                                                                                 ;2023/11/13 00:00:00.000000000;15:00                                                                                                                                                                                                                                                     ;14.715;;19.0;;7.0
