SO2 (µg/m3);NO (µg/m3);NO2 (µg/m3);CO (mg/m3);O3 (µg/m3);PM10 (µg/m3);NOx (µg/m3)
2.2;7;9;0.4;76.5;12.5;19.8
1.6;6.7;9.4;0.4;89.2;17.2;19.8
2;7.5;12.8;0.4;100.5;15.2;24.5
3.2;7.7;12.4;0.4;123;21.2;24.2
3;7.9;12.6;0.4;134.2;26.5;24.5
3;8.6;13.2;0.4;133.5;24.2;26.5
3.6;9.4;14.8;0.5;129.2;27.8;29.2
3;10.2;12.4;0.5;132;26.8;28
3.4;10.8;17.6;0.5;125.5;27.8;34.2
3.2;10.4;28.6;0.6;106;26.2;44.5
2.8;9;26.7;0.4;96.2;25.5;40.2
2.2;7.8;40.6;0.5;76.2;29.8;49.8
1.9;6.6;25.8;0.4;89.2;33.8;36
2;6.3;22.4;0.4;80.8;24.2;32
1.5;6;9.8;0.4;94;24;18.8
1.7;6;10.6;0.4;91.8;25.8;19.5
1.6;5.7;10.7;0.4;84;21.8;19.5
1.4;5.9;10.6;0.4;86;28.2;19.8
1.5;5.6;15.7;0.3;80.5;24.5;24.2
1.2;5.4;12;0.3;81;13.2;20.5
1.2;5.3;16.2;0.3;71;20;24.5
1.9;6;14.8;0.3;75.5;22.8;24
1.6;6.6;14.1;0.4;80.2;24;24.3
2.2;5;13.4;0.4;88.2;22;21
1.9;2.6;17.6;0.4;98;;20.7
2;3.7;11;0.4;114.5;;16.8
2.4;1.4;11.1;0.5;123.2;;13
1.7;2.5;9;0.4;128.5;45;12.8
2.4;5.9;9.2;0.5;134.8;43.2;18
2;5.2;10.8;0.5;137.8;45.8;18.5
2.5;4.5;11.8;0.5;124.8;67.5;18.8
1.4;1.5;9.3;0.4;138.2;;11.2
1.2;0.9;12.4;0.3;94.2;;13.8
1.2;0.7;10.5;0.3;79;45;11.8
1.4;0.6;13.6;0.3;65.8;16.8;14.8
1.1;0.5;11.5;0.2;65.8;16.8;12
1.2;0.4;9;0.3;64;18.8;9.5
1.1;0.5;10.5;0.3;62.8;14.5;11.5
1;0.6;6;0.2;70.2;11.2;7
1.3;0.4;5.3;0.3;76.2;13.8;6
1;0.6;5.4;0.2;77.5;12.2;6.5
1;0.6;5;0.3;75.8;12.2;6.2
1;0.4;5.8;0.3;74.2;16.5;6.2
1;0.6;5.4;0.2;76.2;13.2;6.5
0.9;0.6;6.5;0.2;75.2;12;7.5
1;0.5;8.2;0.2;75.2;15.5;9
1;1;9.5;0.2;81.5;24;11
1.7;0.4;8.4;0.2;85;14.2;9.2
1.3;0.5;5.4;0.3;91.2;17.5;6
1.2;0.5;8.1;0.3;91.2;16.2;9
1.4;0.6;9.3;0.3;94.8;16;10.5
1.2;0.6;8;0.3;100.8;21.2;9
1;0.8;10.5;0.3;93.5;21;11.8
1.2;0.6;10.3;0.3;109;12;11.2
1.4;0.6;8.9;0.3;117;20;10
1.4;0.6;8.7;0.3;114.8;22;9.8
1.1;0.5;7.4;0.3;107.8;23.2;8
1.1;0.6;7.1;0.2;107.5;27.5;8
1.2;0.6;5;0.2;103;25.5;5.8
1.7;0.4;17.2;0.2;85.5;16.2;18
1.2;0.4;8.3;0.2;89.2;20.5;9
1;0.5;8.2;0.2;83.8;20;9
0.9;0.5;6.5;0.2;90;20;7.2
1.2;0.5;6.5;0.2;93;15.5;7.2
1.3;0.5;5.9;0.2;96.5;20.2;6.8
1.4;0.6;6.4;0.2;97.2;20.2;7.5
1;0.6;7.3;0.2;96;19.2;8.2
1;0.7;6.6;0.2;95.8;18.2;7.5
1.2;0.7;8.6;0.2;93.5;15.5;9.5
1;0.7;9.9;0.2;92.8;17.8;10.8
1;0.6;8.7;0.2;96.2;18.2;9.8
1;0.5;8.6;0.2;97.8;22.8;9.2
1.6;0.5;7.8;0.3;99.8;16.8;8.5
1.6;0.7;7.5;0.3;103;25.8;8.8
1.1;0.8;6.7;0.3;107.5;29.8;7.8
1;0.6;6.3;0.3;108.5;25.5;7
1.3;0.8;6.6;0.3;108;25.2;8
1.2;0.8;6.4;0.3;105.8;22;7.5
1.8;1.2;3.8;0.4;106;23;5.5
1.1;1.1;2.5;0.3;106.5;;4.2
1.2;0.7;2.6;0.3;105.2;26;3.5
1;0.6;2.2;0.3;102;24.2;3
1;0.6;3.3;0.3;96.2;25;4.2
1;0.6;4.6;0.3;90.5;23.2;5.2
1.4;0.4;9.7;0.3;80.8;16.8;10.2
1;0.6;3.4;0.3;82.8;20.5;4.2
1;0.4;3.5;0.2;81.8;18.2;4.2
1;0.4;2.8;0.2;81.2;17;4
1;0.4;2.7;0.2;81.5;27.8;3.2
1.2;0.4;3.5;0.2;78.2;16.5;4.2
1.2;0.4;3;0.2;78.2;17.8;3.8
0.9;0.4;5.1;0.2;71.2;21.2;5.8
1.1;1.5;18.7;0.3;44.2;22;21
1.4;2.9;18.9;0.2;41;21.2;23.2
1.2;2.7;15;0.3;52.8;22.8;19
1.8;3.2;15.6;0.3;66;33.8;20.5
2;3.4;14.9;0.3;75.5;34.2;20
1.6;1.9;8;0.3;94.5;30.5;10.2
1.4;1.3;2.3;0.3;106;25;4.2
1;1.1;2.4;0.3;109.2;18.8;4.2
1;1.2;2.5;0.3;113.5;18;4.2
0.9;1.6;2.4;0.3;115.8;20.8;4.8
1;1.8;2.4;0.3;120.2;22.8;5.2
1;2.4;3;0.4;120.8;24;6.8
1.4;2.6;2.9;0.3;119.2;25.8;6.8
1.2;2.6;6;0.3;114.8;27.8;10.2
1.2;2;19.8;0.3;93.8;25.2;23.8
1.2;1.6;16.2;0.3;89.5;27;18.8
1.3;1.2;7.2;0.3;83.2;30.8;9
1.4;0.9;12.9;0.3;81.8;32;14.2
1.4;0.6;9.4;0.3;86.8;29;10.5
1.2;0.6;6.3;0.3;86.5;29.8;7.2
1.5;0.6;7.1;0.3;83.2;25.5;8
2;0.6;8.7;0.3;79;26.8;9.5
1.3;0.6;8.5;0.3;76.5;24.5;9.5
1.2;0.7;8.5;0.3;63.5;25.8;9.5
1.2;0.8;14;0.3;51.8;23.2;15.2
1.2;0.8;7.7;0.3;67;26.5;9
1.7;2;11.4;0.3;74.2;26;14.5
1.9;1;4.1;0.3;100.2;30.5;5.5
1.6;1.2;3.3;0.3;110.5;23.2;5
1.3;1.5;3.5;0.3;118.8;25.5;6
1.3;1.5;3.9;0.4;127.8;37.5;6.2
1.4;1.6;3.8;0.4;137.2;34;6.2
1.5;2.4;3.2;0.4;141.2;37.2;6.5
1.8;4.2;3.1;0.4;143.8;30.8;9.5
2.2;5;3.2;0.4;143;23.8;10.8
1.9;13;3.2;0.5;140;29.5;23.2
2.7;29.8;3.7;0.4;137;23.8;49.2
3.1;30.9;4.8;0.5;131.2;31;52.2
2.2;22.5;5;0.4;107.2;35.5;39.5
1.3;7;7.1;0.4;84;36;18
1;0.5;3.4;0.3;84.5;40.5;4.2
1.1;0.5;4.1;0.3;83.2;36.5;5
1.1;0.4;3.1;0.3;76.2;32.5;4.2
1.2;0.6;3;0.3;75.5;32.8;4
1.3;0.5;13.4;0.3;59.5;20.5;14.3
1.7;1;25.4;0.3;46.5;21.8;26.5
2.2;0.7;18.5;0.3;41;15;20
1.9;0.8;12;0.3;33.2;12.2;13
1.7;0.8;4.1;0.3;43.5;18.2;5.2
1.8;0.6;5.7;0.2;49;18.2;6.8
1.4;0.8;5;0.2;45.2;19.2;6.2
1.2;0.6;3.8;0.2;46.2;14.8;4.5
1.6;0.8;6;0.2;46.2;14;7.2
1.6;0.6;3.2;0.3;56;15.8;4
1.2;0.4;2.3;0.3;62;17;3
1;0.4;2.2;0.3;68;16;3
1.2;0.6;2.7;0.3;70.8;20.8;3.5
1.1;0.5;2.2;0.3;75.2;13.5;3
1.2;0.6;2.7;0.3;74.8;18.2;3.5
1.3;0.6;2.2;0.3;79.5;12;3
1.2;0.5;2.3;0.3;81.8;19;3.2
1;0.5;2.3;0.3;80.5;18.2;3
1.1;0.7;2.2;0.3;69.8;17;3.2
1.1;0.4;2.7;0.3;64.5;15.2;3.2
1.3;0.4;4.1;0.3;59;8.5;4.5
1.3;0.4;2.6;0.2;59.2;16.5;3.5
1.7;0.4;6.5;0.2;53.2;22.5;7
1.8;0.5;10.2;0.2;46.8;18.5;11
1.7;0.4;4.9;0.2;52.5;21.8;5.5
1.6;0.4;4.8;0.3;54.8;14;5.5
1.6;0.5;6.9;0.2;53.8;17;7.8
1.4;0.5;7.3;0.2;51.8;18.8;8
1.7;0.5;7.6;0.2;48;18;8.3
1.6;3.1;16.9;0.2;30.2;17;21.7
1.7;1.8;9;0.2;57.2;18.8;11.8
1.4;0.9;4.7;0.3;68.2;16.2;6.2
1.7;1.5;5.4;0.3;74.2;17.8;7.8
1.5;0.8;2.8;0.3;82;27;4
1.4;0.7;2.5;0.3;87.2;18.2;3.5
1.5;0.9;2.4;0.3;90.2;23.2;3.8
1.6;0.9;2.2;0.3;92.2;20.5;3.5
1.4;1.9;4.3;0.3;93.5;23.5;7.2
1.2;1.1;2.4;0.3;94.8;18.8;4.2
1;1.5;2.2;0.3;97.5;22.5;4.5
1.6;1.4;2.1;0.3;99.8;19.5;4.2
1.6;1.4;2.4;0.3;96.5;20.8;4.5
1.4;1.2;12.4;0.3;84.2;38;14.5
1.2;1.2;28.5;0.3;58;25.8;30.2
1.1;0.7;10.3;0.3;69.5;41.8;11.5
1.1;0.9;8.7;0.3;72;34.2;10
1.1;0.9;10.7;0.3;65.8;30.2;12.2
1.2;0.8;6;0.3;71.2;31;7
2;0.8;5.1;0.3;68.5;36.5;6.5
1.9;0.6;7;0.3;55;30;8
1.4;0.6;6.7;0.3;50.5;23.8;7.5
1;0.5;11.8;0.2;32.2;17.2;12.5
1.8;0.6;11.1;0.2;30.2;17;12.2
1.7;0.8;9.6;0.2;43.8;12.5;10.5
1.2;0.8;5.2;0.2;55.2;14.8;6.5
1.5;0.4;3.5;0.2;67;8.8;4.5
1.1;0.4;2.6;0.2;69.8;17;3
1;0.8;3.1;0.2;71;18;4
1.1;0.6;3;0.3;73;12.8;4
1.2;0.9;3.5;0.3;73.2;8.5;4.8
1;0.7;2.7;0.3;75.8;8;3.8
1.4;0.8;3.2;0.3;77.5;11.5;4.5
1.4;0.6;2.4;0.3;77;14.8;3.5
1.7;0.8;3.4;0.3;78.5;10;5
1.8;0.6;2.6;0.3;78.5;10.8;3.2
1.7;0.6;4.6;0.3;70.5;9.2;5.5
2.2;0.5;2.8;0.2;71.8;9.8;3.8
1.4;0.5;6.8;0.2;62;11;7.8
1.2;0.4;6.9;0.2;58.8;15;7.5
1.3;0.4;2.9;0.2;64.5;14.2;3.2
1;0.4;5.9;0.2;52.5;13.2;6.5
0.9;0.4;4;0.2;60.8;13;4.5
0.9;0.4;4.4;0.2;60.8;9.8;5
1;0.4;4.6;0.2;61.8;9;5
1.5;0.5;4.4;0.2;59.5;18.8;5.2
1;0.5;4.9;0.2;56.2;13;5.8
1;1;18.4;0.2;42;12.8;20
1.2;3.4;17.7;0.2;42.2;17.2;23
1.2;0.8;5.7;0.2;59.8;19;6.8
1.4;0.8;3.6;0.3;69;17;5
1.8;0.8;4.3;0.3;73.8;17.8;5.8
2;0.9;3.7;0.3;76.5;19.8;5
2.4;1;3.2;0.3;79.2;12.5;4.8
1.8;1;3.1;0.3;80.2;16.2;4.5
1.6;1.4;2.1;0.3;80.2;12;4
1.8;0.9;2.9;0.3;82;11;4.2
1.3;1.6;2.2;0.3;82.8;15.2;4.5
1.8;1.6;2.3;0.3;80;23;5
1.6;1.6;2.4;0.3;82.5;10.8;5
1.6;1.4;2.4;0.3;80.2;18.8;4.8
1.6;1.5;2.6;0.3;69.5;17.5;5.2
1.5;1.2;4.1;0.3;54.8;17;6
1.3;0.9;7.4;0.3;54.5;22.2;8.8
1.7;0.6;17;0.3;39.5;9;18
1.4;0.5;6.8;0.3;42.5;10;7.5
1.5;0.6;5.8;0.2;38.8;11.8;7.2
1.2;0.7;9;0.3;30.5;12;10
1.2;0.6;9.7;0.3;35.8;12;10.8
1;0.7;7;0.2;38.8;11;8
1;0.6;10.6;0.2;34.5;10;11.5
1.4;0.9;13;0.2;25.8;10;14.2
1.6;1.2;9.5;0.3;29;10;11.2
1.5;1.1;4.4;0.3;34.5;16.2;6
1.6;1;2.8;0.3;42.5;16.2;4.2
1.1;0.9;2.8;0.3;51.2;12.5;4.2
1.1;1.6;4;0.3;56.5;12;6.8
1.3;1.3;3.5;0.3;60.2;12;5.5
1.1;1;2.6;0.3;67.2;12;4.5
1;0.9;2.2;0.3;75.8;11;3.5
1;0.8;2.8;0.3;82.8;9;4.2
1.2;0.6;2.1;0.3;85.8;15.2;3
1.1;0.6;2.2;0.3;80.5;15;3
1.2;0.6;2.1;0.3;78.5;18.5;3
1;0.6;2.2;0.3;69.8;17.2;3
1.2;0.6;2.3;0.3;65.2;15.2;3
1.2;0.5;2.2;0.2;61;13.2;3
1.2;0.5;2.3;0.2;57;12.2;3
1;0.4;2.3;0.2;57.2;11.2;3.2
1.2;0.4;8.2;0.2;46.8;6.5;8.8
1.2;0.4;6.5;0.2;47.2;4.2;7
1.2;0.4;4.8;0.2;46.5;7.5;5.5
1.8;0.6;21.8;0.2;42;10.8;22.5
1.2;0.4;13.4;0.2;44.8;9.5;14
1;0.5;10.1;0.2;49;6.2;10.5
1;0.8;7.3;0.2;51.8;6;8.5
1.1;0.8;6.1;0.2;58.2;8.8;7.2
1.4;0.8;4;0.2;70.8;14.2;5.5
1.2;0.6;3.8;0.2;75;12.2;4.8
1.3;0.5;3.1;0.3;83.5;12;4
1.3;0.5;2.6;0.3;86.2;11.2;3.2
1.3;0.5;2.4;0.3;85;14.5;3.2
1.4;0.6;2.4;0.3;89.2;21.2;3.2
1.5;0.6;2;0.3;95.8;15.8;3
1;0.6;2.1;0.3;97.8;17.2;3
0.9;0.9;2.5;0.3;98.8;17;3.8
1.2;0.6;2.3;0.3;98;19;3.2
1.2;0.6;2.2;0.3;97.8;14.5;3
1.4;0.7;2;0.2;91;16.8;3.2
1.5;0.6;2.2;0.2;84;14.2;3
1.4;0.5;3.7;0.2;74.5;14;4.3
1.2;0.4;3;0.2;74.2;16;3.8
1.8;0.4;2.4;0.2;73;11.5;3
1.3;0.5;3.3;0.2;67.5;20;4.2
1.2;0.5;3;0.2;63.8;13.8;3.8
0.9;0.6;8.7;0.3;62;10.2;9.8
1.1;0.5;10.4;0.3;61.2;8.2;11.2
1.4;0.9;12.4;0.3;66.5;8.2;13.8
1.3;1;30.2;0.3;62.2;15.2;31.8
0.9;0.9;4.2;0.3;62.2;11.5;5.8
1;0.7;2.9;0.2;69;16.5;4.2
1.2;0.9;2.6;0.2;73.5;19.8;4
1.2;0.4;2.1;0.2;79.2;20.2;3
0.9;0.3;2.1;0.2;79.8;18.2;3
0.9;0.5;2.4;0.3;84.5;19;3.2
0.9;0.6;2.4;0.3;88;17.2;3.2
0.9;0.6;2.2;0.3;90.5;8;3
0.8;0.5;2.1;0.3;94;10.5;3
0.9;0.5;2;0.3;99;14.5;3
1;0.5;2.1;0.3;99.2;15.8;3.2
1;0.8;2.2;0.3;103.2;14.8;3.5
0.9;0.6;2.1;0.2;99.8;23.2;3.2
1;0.8;2;0.2;88;21.2;3
1;0.4;2.1;0.2;82.5;22.8;3
0.9;0.6;2.3;0.2;76.5;9.5;3.3
1.4;0.4;2.6;0.2;78.8;15.2;3.2
1.3;0.4;2.6;0.2;73.2;12.5;3.2
0.9;0.4;2.6;0.2;75.5;11.2;3.2
0.8;0.4;2.2;0.2;80;10;3.2
0.8;0.4;2.2;0.2;75;10.2;3
1.5;0.5;2.2;0.2;77.8;12;3
1.2;0.4;2.3;0.2;77;12;3
1.3;0.5;2.1;0.2;75;13.8;3
1.5;0.4;2.2;0.2;74.2;10.5;3
1.6;0.4;2.2;0.2;74;11.8;3
1.6;0.4;2.2;0.2;76;9.2;3
1.6;0.4;2.2;0.2;78.2;9;3
1.2;0.4;2.2;0.2;78.2;9.8;3
1.3;0.6;2;0.3;75.2;9.2;3
1.2;0.6;2;0.3;72.2;12.8;3
0.8;0.5;2.4;0.3;72.5;13;3.2
0.9;0.7;2.1;0.3;71;10.2;3.2
0.9;0.6;2.6;0.3;66;10;3.5
1.4;0.7;2.6;0.3;65;8.2;3.8
1;0.7;3;0.3;62;6.8;4
0.9;0.7;2.4;0.3;59.5;9;3.5
1.2;0.8;3.2;0.3;44;10;4.2
1;0.5;2.9;0.3;37.8;9;3.8
0.9;0.4;2.9;0.2;36.2;9.2;3.5
1;0.5;3.7;0.2;32;8;4.2
0.9;0.4;4.3;0.2;29;14.2;5
0.9;0.4;3.4;0.2;28;6;4
0.8;0.6;2.4;0.2;31;8.5;3
1;0.5;3.2;0.3;27.2;10.8;3.8
1.4;0.4;3.2;0.2;26.2;10;4
0.9;0.4;2.4;0.2;27;10.2;3.2
1.1;0.5;2.2;0.2;25;16;3
1;0.6;5.9;0.3;20.8;6.8;7
1;1.2;4.2;0.2;21;7;6.2
1;1;2.5;0.3;24.8;14.2;4
0.9;1.2;2.8;0.2;26.8;10.5;4.8
1.1;0.8;2.8;0.3;36.5;9;4
1;0.7;2.2;0.3;57.5;16;3.2
1;1;3.3;0.3;65;14.2;4.8
1;1;2.6;0.3;60.2;18;4.2
1;0.6;2.4;0.3;59.8;19.8;3.2
1.1;1;2.2;0.3;66.2;12;3.5
1.4;0.7;2.9;0.4;72.5;11.8;4.2
1.2;0.9;2.7;0.3;70.8;16.5;3.8
1.3;1.2;2.2;0.3;63;21.5;4
1.4;0.9;2.3;0.3;59.5;13;3.8
1.3;0.8;3.2;0.3;55.2;14.8;4.2
1.5;0.6;3.2;0.3;49.2;12.2;4.2
1.2;0.7;10.2;0.3;38.2;20;11.5
1.4;0.7;9.3;0.3;40.2;18.2;10.5
1.8;0.7;5.3;0.3;44.8;14.2;6.2
1.8;0.7;8.4;0.3;38.8;15.2;9.5
1.5;0.6;10.3;0.3;38.8;12.2;11.2
1.9;0.6;7.5;0.3;33.5;12;8.2
1.6;0.9;10.1;0.3;27.8;14;11.5
1.8;1;10.2;0.3;26.5;12.2;12
1.5;1;10.6;0.3;26.5;17.5;12.2
1.7;3.1;16.4;0.3;23.5;13.5;21.2
1.5;2.8;8.6;0.3;29.8;14.2;12.8
1.8;2;5.8;0.3;33.8;17.8;9
2.2;1.1;2.9;0.3;39;19;4.8
1.7;1.2;2.8;0.3;37;12.8;4.8
1.3;1.4;3.1;0.3;40.5;13.8;5.5
1.1;1.2;2.4;0.3;53.2;18.5;4.2
0.9;1;2;0.3;64.2;14.5;3.5
0.9;1;2;0.3;68.5;15.8;3.5
1;1.1;2;0.3;69;8;4
1;0.7;2;0.3;73;8.8;2.8
0.9;0.5;2.2;0.3;68.5;15.2;3
0.9;0.6;1.9;0.3;61.5;13.8;3
1.1;0.4;2.4;0.3;56.5;14;3
1.8;0.4;3.4;0.3;53.2;15;4.2
1.5;0.6;9.6;0.3;47.2;7;10.5
1.4;0.4;4.4;0.3;53.5;8;5
1.3;0.5;2.7;0.3;56;13.8;3.5
1.3;0.4;2.1;0.2;57.5;7;3
1.1;0.6;2.3;0.3;55;18.5;3.2
1;0.4;3;0.3;50.5;13.8;3.8
1.4;0.4;2.2;0.3;53;12.2;2.8
1.4;0.4;3;0.3;52.8;9.8;3.5
1.3;0.5;6.3;0.3;48.5;6.2;7.2
1.4;2.2;14.2;0.3;40;5.2;17.5
0.8;0.8;3.5;0.3;52.2;6.8;4.8
1.2;0.8;3.3;0.3;54.2;9.8;4.2
1.2;1;3;0.3;58.5;9.2;4.5
1.8;1.1;3.1;0.3;61.5;14.5;4.8
1.2;0.8;2.2;0.3;66.5;14;3.2
1.2;1.2;2.1;0.3;68.2;10;4
1.1;1;2.6;0.3;69.8;8.2;4.2
1;1;2.6;0.3;73.5;9;4
1.9;1;2.4;0.3;74.8;12.2;3.8
1.1;1.1;4.1;0.3;77.2;20;5.8
0.8;0.9;2.1;0.3;77;16.5;3.8
0.8;0.7;2.1;0.3;74.8;11.5;3.2
0.9;0.7;3;0.3;68.8;16.2;4
1;0.7;7.3;0.2;56.2;18;8.5
1;0.4;3;0.2;59.8;13.5;4
1.2;0.5;2.5;0.2;61.5;12.2;3.2
1.2;0.4;4.2;0.2;58.5;8.5;5
0.8;0.4;2.7;0.2;59.5;9.8;3.5
0.8;0.4;3.6;0.2;55.5;17.5;4
1;0.4;3.4;0.2;51.2;12.5;3.8
0.9;0.4;3.4;0.2;50.2;10.2;4.2
1;0.4;6;0.2;43;7.2;6.5
1.5;0.7;11.3;0.2;38;7;12.5
1.6;0.8;8.8;0.2;43.8;15;10
1.9;1;7.1;0.2;60;14.2;8.8
1.5;0.6;4;0.2;74.8;17.8;5
2;0.9;3.8;0.3;80;10.8;5.2
1.5;0.7;3.2;0.3;85.8;20.8;4.2
1.6;0.8;2.7;0.3;89.2;24.8;4.2
1;1;3.1;0.3;91;20.5;4.5
0.9;1;2.4;0.3;92;19.2;4
1;1.2;2;0.3;90;17.8;3.8
0.8;1.4;2.4;0.3;95.2;12.5;4.8
0.8;1.4;2.1;0.3;102.5;14.8;4.5
1.1;1.4;2.6;0.3;107;17.8;4.8
1;1.3;2.5;0.3;102.2;16.8;4.8
1.2;0.9;4.4;0.3;90.2;33;6
2.4;0.4;3.1;0.3;78;28.8;4
1.8;0.6;4.7;0.3;88.5;20;5.5
0.9;0.5;4;0.2;87;17.2;4.8
0.9;0.5;8.4;0.3;88;14.2;9
0.9;0.4;5;0.2;85.5;15;5.5
1;0.4;6.8;0.2;78.5;19.5;7.5
1.2;0.3;4;0.2;81.5;18.2;4.5
1.1;0.4;2.7;0.2;81;20;3.2
1.5;0.3;4.7;0.2;77.5;21;5.2
1.4;0.3;8.6;0.3;70;20.2;9
1.6;0.5;7.4;0.2;72;16.5;8.2
1.6;0.4;5.1;0.2;85;24.2;5.5
1.1;1;5.8;0.3;96.5;24.2;7.5
1.4;1;6.2;0.3;99.5;26.8;7.5
1.7;1.1;6;0.3;105.5;27.8;7.8
1.3;1.5;4.9;0.3;108.8;28;7
1.5;1.6;4.8;0.3;111.2;22.8;7
1.8;1.6;4.9;0.3;115;21;7.2
1.5;1.6;2.4;0.3;121;24.8;4.8
1.1;1.8;2.3;0.3;128;20.5;5.2
1.1;2.1;2.8;0.3;128.8;21;6
1;2.4;2.3;0.4;121.5;24.5;5.8
1.9;1.7;6.9;0.3;109;24;9.8
2.1;1.3;10.5;0.3;92;36.5;12.5
1.7;0.6;4;0.3;105.5;32.5;4.8
1.6;0.4;4.1;0.3;105.8;33.8;5
1.8;0.6;4.4;0.3;103.5;30.5;5.2
2;0.6;4.3;0.3;102.8;30;5.2
1.4;0.4;4.2;0.3;100.2;20.2;5
1.4;0.5;6.8;0.3;95.5;24.2;7.8
2;0.5;5.4;0.3;99.8;23.2;6
2;0.6;4.7;0.3;102.2;27.5;5.8
1.1;0.6;2.9;0.3;95;20;3.5
1;0.5;7.8;0.3;88.2;24.2;8.5
1;0.5;6.7;0.3;91;25.8;7.5
1.2;0.5;5.6;0.3;101.5;21.5;6.2
1.2;0.5;2.5;0.3;113.5;21.2;3.2
1.1;0.4;2.8;0.3;116;29;3.8
1;0.6;2.2;0.3;122;19.2;3
1.1;1;3.2;0.3;126.5;18.2;4.8
1.3;1.5;3.5;0.3;132.8;21.5;5.8
1.5;1.7;3.4;0.3;129.5;18.2;6
1.6;1.6;4;0.3;127.5;13.8;6.8
1.2;1.2;2.8;0.3;129.8;16.8;4.5
1.4;1.6;3.2;0.3;125.8;18;5.8
2.1;1.6;5.7;0.3;118.8;21.8;8
2.2;1;6.4;0.3;117.5;28.5;8
1.8;0.8;7;0.3;111.8;34.5;8.2
1;0.5;2.8;0.3;119.2;28;3.8
1.4;0.6;2.3;0.3;118;20.8;3
1;0.4;2.2;0.3;121;14.8;2.8
1;0.6;2.2;0.3;122.2;16.8;3
1;0.3;2.6;0.3;119.8;14.2;3.2
0.8;0.5;3;0.3;109.5;15.8;3.8
1;0.4;3.2;0.3;102;19;3.8
0.8;0.4;3.6;0.3;92.2;13.8;4.2
0.9;0.3;3.8;0.3;82.5;17.5;4.2
0.9;0.4;2.2;0.3;88.8;21.5;2.8
1;0.4;3.8;0.3;84.5;20;4.2
1.4;0.5;2.8;0.3;93.5;18.8;3.2
1.3;0.4;2;0.3;113;14.5;2.5
1.1;0.6;4.5;0.3;117.5;25.8;5.5
1.2;1;2.8;0.3;120.5;22.5;4.2
1.1;1.3;5.2;0.3;114.2;20.8;7
1.3;1.8;4.2;0.3;112.5;13.2;7
1.4;1.9;2.9;0.3;107.8;21;5.8
1.3;1.6;2.2;0.3;120.5;16.5;4.8
1.3;2.2;2.3;0.3;124.8;8.8;5.5
1.1;2.8;2.1;0.4;126;16.8;6.2
1.2;3.3;2.6;0.4;122.5;9;7.8
1.6;3.4;2.4;0.4;115.8;10.8;7.5
1.1;2.3;6.7;0.3;100.8;14.5;10
2.4;1.4;9.1;0.3;94.5;22.2;11.2
1.9;1;4.6;0.3;97.2;30.2;6
1.7;0.6;7.8;0.3;92.5;36.2;8.8
1.6;0.5;3.8;0.3;95.2;17.2;4.5
1.8;0.4;4;0.3;91;17.5;4.5
1.8;0.5;2.5;0.3;92.8;21.5;3.5
1.5;0.7;2.8;0.3;85;21;3.8
1.7;0.6;10.6;0.3;72;20;11.8
1.7;0.6;5.6;0.3;77.8;25.5;6.8
1.4;0.7;6.5;0.3;75.8;9;7.5
1.6;1.3;10.5;0.3;60.5;19.5;12.5
1.7;3.8;22.4;0.3;55.2;23.5;28.2
1.4;3.1;14.9;0.3;70;25;19.5
1.6;2;5.2;0.3;79;42;8.2
1.2;1.6;3.3;0.3;84.8;38.8;5.5
1.1;1.7;2.9;0.3;97;41.8;5.5
1.4;2.1;3.4;0.4;108.5;40.2;6.8
1.2;2.9;3.2;0.4;116.5;44;7.8
1.3;4.3;3.9;0.4;125;41.5;10.2
1.9;7.5;5;0.4;128.5;31.2;16.8
1.6;20.4;6;0.4;124.5;44.2;37.2
2.3;21.8;7.7;0.4;109.2;48.8;41.2
1.8;20.4;7.3;0.4;100;56.2;38.5
0.9;13.5;7.6;0.4;90;54.2;28.5
1;2.8;8;0.3;81;45;12.2
0.9;0.4;4.8;0.3;79.2;52;5.5
0.8;1.1;3.3;0.3;79.8;43.2;4.8
0.9;1.2;2.8;0.3;83.8;33.2;4.8
1.3;1.6;2.4;0.3;84;37.5;4.8
1.2;1;2.4;0.3;74.8;32.5;4
1.2;1;3.8;0.3;74.8;32;5.2
1;0.8;3.9;0.3;72.5;25.8;5
1;1;5.6;0.3;69;19.8;7
1.2;1.1;5.8;0.3;65;20;7.5
0.9;1.2;7.1;0.3;63.2;24.5;9
1;1.1;4.2;0.3;74.2;29.5;5.8
1;1.7;3.1;0.3;83;39.8;5.8
1;1.7;4.4;0.3;85.8;30.2;7.2
1.1;1.8;4.4;0.3;91.8;30.8;7.2
1.1;2.1;3.7;0.3;102.8;32.8;7
1.1;1.9;2.8;0.3;108.8;37.5;5.8
1;2.4;2.4;0.3;110;35.2;5.8
0.8;4.4;3.3;0.4;113;24.2;10.2
0.9;3.7;3.5;0.4;113.2;29.2;9.2
0.8;3.2;7.9;0.4;105.5;38;13
0.8;2.6;6.6;0.3;98.5;29.8;10.5
0.9;1.9;4.1;0.3;102.5;24.5;6.8
1.1;1.6;6;0.3;91.5;28;8.2
1;1.4;13.6;0.3;76;25.2;15.8
1.2;1.1;10;0.3;79.2;21.2;11.8
1;0.8;6.2;0.3;74.2;18.2;7
1.1;0.9;9.2;0.3;63.5;21.5;10.5
1;0.6;6.4;0.3;68.8;23;7.2
1;0.6;3.2;0.3;74.8;24.8;4
1.4;0.7;2.7;0.3;76.2;17.8;3.5
