SO2 (µg/m3);NO (µg/m3);NO2 (µg/m3);CO (mg/m3);O3 (µg/m3);PM10 (µg/m3);NOx (µg/m3)
1.4;1.4;9.7;0.2;50.5;;11.8
1.2;1;4.9;0.2;64.8;;6.5
1.6;1.1;5.2;0.2;59.8;;7
2;1.6;7.4;0.2;56.8;;9.5
1.7;1.4;5.4;0.2;62;;7.2
1.8;1.2;3.5;0.2;68;;5.2
1.5;2.2;3.8;0.2;73.5;;7
2.4;1.7;2.7;0.2;77.5;;5.2
1.6;1.1;2.8;0.2;77.2;;4.5
1.4;1.3;3.4;0.2;76.5;;5
1.3;1.3;5.8;0.2;72;;7.8
1.5;2;22.5;0.2;48.8;;25.5
1.7;1.3;7.1;0.2;66.5;;9
1.4;1.8;13.9;0.3;58;;16.8
1.5;1.3;13.8;0.3;62.2;;16
2.2;1.4;11;0.3;66.5;;13.2
1.7;1.7;9.7;0.3;71.2;;12.2
2.4;1.5;6.1;0.3;70;;8.2
2.2;1.1;6.3;0.3;62.5;;8
3.4;1.1;10.4;0.3;64.8;;12
2.1;1.2;10.4;0.2;68;;12.2
1.6;1.2;9.9;0.2;54.8;;11.8
3.3;1.2;12.6;0.3;56.8;;14.5
2.9;1.6;15.3;0.3;49;;17.5
2.1;1.6;17;0.4;49.5;;19.8
1.5;1.8;23.3;0.3;47.5;;26
2.2;4;20.6;0.3;28.2;;26.5
4.1;5.9;24.6;0.2;7.8;;34
2.8;4;14.9;0.2;41.2;;20.8
3.4;3.6;9.6;0.2;53;;14.8
2.5;2.2;6.1;0.2;56.8;;9.5
2.1;1.8;4.3;0.2;59.2;;7.2
2.5;1.9;7;0.2;61.2;7;10
3.2;1.8;8.3;0.2;61.5;7.2;11
2.6;2.1;14.6;0.2;52.8;11;17.8
1.5;1.9;24;0.2;35.5;10.8;27
2.6;1.4;19.8;0.2;34.8;20;22
2.8;2.1;26;0.2;30;13;29.2
2.3;2.3;32;0.3;26;18;35.5
2.7;2.4;33.1;0.3;24.8;22;36.8
3;1.7;20.1;0.2;27.5;19;22.8
1.9;1.5;26;0.2;17.2;22;28.2
2.1;1.3;18.4;0.2;29;17;20.5
2.7;1.5;12.3;0.2;16.8;21;14.2
2.9;1.1;20.4;0.2;20.8;4;22
3.1;2.3;24;0.2;23;20;27.2
2.5;2;30.3;0.2;21;12.8;33.2
2.3;1;21.4;0.2;26.2;25.2;23
2.4;7.2;26;0.2;16.5;17;36.8
2.8;16.9;32.6;0.2;;21.2;58.7
2.2;;;0.2;;10;
2;;;0.2;13.5;19.8;
2.2;17.1;26.3;0.2;8;15;52.3
3;9.2;20.2;0.2;14.8;20;34.2
4.2;8.8;25.6;0.2;22.5;16;38.8
2.1;7.6;17.3;0.2;47.5;19;29
2.1;4;7.2;0.2;68.8;13.8;13.5
2.7;2.2;10.9;0.2;62.2;15;14.2
1.8;2.2;18.4;0.2;48.5;16.5;21.8
1.8;2.2;12;0.2;48.2;18;15.5
1.8;1.4;6.4;0.1;68;13;8.5
1.9;1.2;5.7;0.2;42.5;13;7.8
2.1;2;12;0.2;57.5;12;15.2
3.3;2;10.1;0.2;60;15;13
2.2;1.4;12.3;0.2;63.8;7;14.8
1.4;1;7.1;0.2;63.5;8;8.8
2.4;1.2;4.5;0.1;64.8;7;6.2
2;1;4.2;0.1;58.8;8;5.5
2.6;1.7;6.8;0.1;53.2;7;9.5
2.3;1.2;6;0.1;52.5;4.5;7.5
1.6;1;5.8;0.1;45.2;3;7
1.3;1.3;14.4;0.1;39.5;4.8;16.5
1.2;1.4;17.7;0.2;43.5;9;19.5
1.8;2.4;28;0.2;33.8;11;32
1.4;1.8;19;0.2;46;20;21.8
1.6;4.2;23.9;0.1;33.2;13;30.2
2.1;5.3;22.1;0.2;31.8;12;30.2
2.5;5.2;17.8;0.2;39.2;17;25.8
2.4;2.9;9.6;0.2;56.8;12.2;14.2
2;1.1;3.5;0.2;67.8;11;5.5
2;2.4;8.4;0.2;58;16;12.2
1.4;2;10.3;0.2;51.8;11;13.2
1.6;2.7;22.2;0.2;29.5;19;26.5
1.4;6.6;43.7;0.2;;19;54
1.9;4.8;38.4;0.2;;29;45.8
1.7;2.7;30.7;0.2;11;28;35
2;2.8;29.7;0.2;12;20.2;34.2
1.6;1.9;20.9;0.2;20.8;22;23.8
1.7;1.4;17.7;0.2;24;12.8;20
1.8;1.5;15.3;0.2;27.5;11;17.8
2.1;1.3;9.1;0.2;34.5;19.8;11.2
3.4;1.1;8.1;0.2;32.2;15;9.8
3.1;1.4;6.8;0.2;34;18;9.2
2.3;1.3;6.8;0.2;33;16;8.8
2.5;1.4;6.4;0.2;28.5;17;8.5
1.2;1.2;9.4;0.2;26.5;18;11.2
2.2;2;12.9;0.2;24.5;20;16.2
