Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
11/04/2015;0,2;0,19;4;15;21;54;57;17;10;5
10/04/2015;0,2;0,2;4;12;19;80;87;17;7;5
09/04/2015;0,2;;4;11;17;99;100;15;7;5
08/04/2015;;;4;9;15;100;98;15;8;5
07/04/2015;0,34;;13;27;47;59;50;38;15;5
06/04/2015;;;9;24;37;46;47;32;19;7
05/04/2015;0,23;0,21;4;12;19;60;64;14;4;4
04/04/2015;0,2;0,19;4;7;13;73;73;7;2;4
03/04/2015;0,29;0,3;7;14;24;51;46;23;16;6
02/04/2015;;;7;19;29;51;52;31;16;6
01/04/2015;0,27;0,24;5;13;20;72;73;22;7;4
31/03/2015;0,15;0,17;6;17;26;55;55;17;9;4
30/03/2015;0,28;;7;23;34;56;51;29;16;6
29/03/2015;;;7;22;33;47;47;19;10;5
28/03/2015;0,2;;5;12;19;53;56;16;8;4
27/03/2015;;;6;17;26;61;62;8;2;4
26/03/2015;0,24;0,25;8;20;32;56;57;12;5;4
25/03/2015;0,21;0,21;6;15;23;72;72;9;;4
24/03/2015;0,31;0,33;8;24;36;49;40;10;;4
23/03/2015;0,32;0,29;21;47;79;20;26;12;;4
22/03/2015;0,17;0,19;5;11;18;61;63;10;;4
21/03/2015;0,3;0,28;5;15;23;53;52;8;;4
20/03/2015;0,28;0,31;6;17;26;53;50;19;;4
19/03/2015;0,35;0,34;6;25;34;41;42;20;13;5
18/03/2015;0,3;0,29;10;32;48;60;60;24;10;5
17/03/2015;0,26;0,28;9;30;44;60;59;22;11;5
16/03/2015;0,25;0,22;13;32;52;43;47;30;;5
15/03/2015;0,19;0,2;5;14;22;55;57;14;;4
14/03/2015;0,24;0,21;5;13;20;70;72;10;5;4
13/03/2015;0,15;0,15;6;14;23;71;69;23;9;4
12/03/2015;0,23;0,26;7;22;33;67;65;37;22;5
11/03/2015;0,39;0,41;13;33;52;40;34;47;27;7
10/03/2015;0,31;0,29;17;42;68;40;40;51;25;9
09/03/2015;0,35;0,39;20;47;79;36;37;69;36;14
08/03/2015;0,24;;12;34;53;47;46;31;11;12
07/03/2015;0,37;0,38;11;30;48;35;31;41;21;14
06/03/2015;0,32;;29;40;85;23;25;50;23;11
05/03/2015;0,28;;6;19;28;64;72;23;8;6
04/03/2015;;;5;12;20;75;70;10;;4
03/03/2015;0,28;0,29;19;30;59;31;32;26;11;4
02/03/2015;0,21;0,21;10;22;37;37;35;6;3;4
01/03/2015;0,27;;6;19;30;26;24;10;5;4
28/02/2015;0,35;0,32;7;25;35;35;40;12;6;4
27/02/2015;0,2;;4;13;20;76;76;8;3;4
26/02/2015;0,2;0,2;6;15;23;58;59;7;4;4
25/02/2015;0,22;0,23;5;12;19;72;72;7;3;4
24/02/2015;;;5;14;21;70;70;8;2;4
23/02/2015;0,26;0,28;10;22;37;45;41;11;4;4
22/02/2015;0,25;0,22;4;12;18;68;74;8;2;4
21/02/2015;0,15;0,16;4;9;15;74;70;6;;4
20/02/2015;0,36;0,39;22;37;72;33;26;45;;10
19/02/2015;0,34;0,33;37;44;102;17;18;48;24;8
18/02/2015;0,34;0,31;14;28;50;39;49;21;9;5
17/02/2015;0,24;0,23;4;11;17;69;69;11;3;4
16/02/2015;0,17;0,21;7;23;34;53;51;12;3;4
15/02/2015;0,25;0,23;3;13;18;55;51;6;2;4
14/02/2015;0,23;0,23;6;27;36;34;37;14;;6
13/02/2015;0,26;0,27;9;29;42;46;40;37;19;7
12/02/2015;0,35;0,37;22;41;76;35;38;43;22;13
11/02/2015;0,43;0,46;18;38;66;40;35;50;28;13
10/02/2015;0,46;0,41;38;55;114;24;23;63;36;15
09/02/2015;0,32;0,3;22;35;69;41;50;34;14;5
08/02/2015;0,27;0,28;4;13;20;55;51;19;13;4
07/02/2015;0,35;0,35;6;22;31;34;33;21;15;4
06/02/2015;0,23;0,19;9;24;37;34;41;12;7;4
05/02/2015;0,21;0,24;5;13;21;61;60;10;4;4
04/02/2015;;;8;27;38;47;47;28;;5
03/02/2015;0,23;0,26;7;27;38;51;46;9;;4
02/02/2015;0,33;0,3;9;35;49;34;41;11;6;4
01/02/2015;0,19;0,19;4;12;18;70;71;9;2;4
31/01/2015;;;4;11;16;72;68;9;3;4
30/01/2015;0,15;0,14;6;22;31;63;63;6;3;4
29/01/2015;0,26;0,27;18;31;59;37;35;17;;4
28/01/2015;0,27;0,26;8;30;43;43;;13;6;4
27/01/2015;0,18;0,17;4;16;23;59;55;9;3;4
26/01/2015;0,22;0,23;9;30;44;41;43;23;8;4
25/01/2015;0,26;0,27;2;14;18;58;60;17;5;4
24/01/2015;0,32;0,33;8;25;38;37;30;25;11;5
23/01/2015;0,24;0,2;9;29;44;37;43;19;9;4
22/01/2015
21/01/2015
20/01/2015
19/01/2015
18/01/2015;0,23;0,26;4;14;20;52;48;10;6;4
17/01/2015;0,3;0,27;8;27;39;41;48;17;7;4
16/01/2015;0,23;0,23;8;25;37;55;52;10;4;4
15/01/2015;0,18;0,18;4;12;18;57;60;12;6;4
14/01/2015;0,28;0,28;28;28;71;44;41;30;10;5
13/01/2015;0,2;0,23;6;23;33;47;40;23;;5
12/01/2015;0,4;0,4;27;42;84;20;20;35;17;13
11/01/2015;0,25;0,23;6;18;28;46;47;16;8;5
10/01/2015;0,27;0,28;20;29;59;13;11;35;21;7
09/01/2015;0,37;0,37;48;41;115;9;10;64;37;
08/01/2015;0,41;0,41;51;49;127;6;6;58;31;
07/01/2015;0,33;0,32;34;39;91;17;19;43;26;
06/01/2015;0,28;0,29;7;27;38;25;24;23;13;5
05/01/2015;0,35;0,36;27;34;76;18;17;26;;
04/01/2015;0,33;0,33;9;27;41;29;28;15;;5
03/01/2015;0,37;0,36;33;44;96;17;18;58;;
02/01/2015;0,32;0,3;79;58;180;12;13;27;;7
01/01/2015;0,25;0,25;47;48;120;13;17;14;;6
